Address,flat_type,floor_area_list,resale_price_list
808C Chai Chee Rd S(463808),3-Room,68.0 sqm,"$590,000"
143 Pasir Ris St 11 S(510143),4-Room,105.0 sqm,"$590,000"
463 Tampines St 44 S(520463),4-Room,105.0 sqm,"$590,000"
455 Segar Rd S(670455),4-Room,93.0 sqm,"$590,888"
722 Woodlands Ave 6 S(730722),4-Room,103.0 sqm,"$593,000"
461 Segar Rd S(670461),4-Room,93.0 sqm,"$595,000"
684C Woodlands Dr 62 S(733684),4-Room,103.0 sqm,"$595,000"
506 Jelapang Rd S(670506),5-Room,120.0 sqm,"$595,000"
346 Kang Ching Rd S(610346),4-Room,101.0 sqm,"$597,000"
134 Edgedale Plains S(820134),4-Room,91.0 sqm,"$598,000"
352 Kang Ching Rd S(610352),4-Room,102.0 sqm,"$598,000"
610 Ang Mo Kio Ave 4 S(560610),4-Room,95.0 sqm,"$598,000"
109D Edgedale Plains S(824109),5-Room,110.0 sqm,"$598,000"
165B Yung Kuang Rd S(612165),4-Room,93.0 sqm,"$598,888"
116 Pending Rd S(670116),4-Room,103.0 sqm,"$599,000"
25 Sin Ming Rd S(570025),4-Room,88.0 sqm,"$599,000"
134 Edgedale Plains S(820134),5-Room,111.0 sqm,"$599,000"
438A Bt Batok West Ave 8 S(651438),4-Room,93.0 sqm,"$599,999"
445B Fernvale Rd S(792445),3-Room,68.0 sqm,"$600,000"
4 Joo Chiat Rd S(420004),3-Room,75.0 sqm,"$600,000"
785C Woodlands Rise S(733785),4-Room,93.0 sqm,"$600,000"
488A Choa Chu Kang Ave 5 S(681488),4-Room,93.0 sqm,"$600,000"
22 Teban Gdns Rd S(600022),4-Room,92.0 sqm,"$600,000"
130 Rivervale St S(540130),4-Room,100.0 sqm,"$600,000"
601 Senja Rd S(670601),4-Room,90.0 sqm,"$600,000"
311 Yishun Ring Rd S(760311),4-Room,104.0 sqm,"$600,000"
764 Yishun St 72 S(760764),4-Room,104.0 sqm,"$600,000"
410 C'wealth Ave West S(120410),4-Room,98.0 sqm,"$600,000"
201B Punggol Field S(822201),5-Room,110.0 sqm,"$600,000"
469 Segar Rd S(670469),5-Room,110.0 sqm,"$600,000"
465 Segar Rd S(670465),5-Room,110.0 sqm,"$600,000"
276B Jurong West Ave 3 S(642276),5-Room,111.0 sqm,"$600,000"
3 Queen's Rd S(260003),4-Room,91.0 sqm,"$608,000"
448 Yishun Ring Rd S(760448),4-Room,92.0 sqm,"$609,000"
208B Clementi Ave 6 S(122208),3-Room,68.0 sqm,"$610,000"
439C Bt Batok West Ave 8 S(653439),4-Room,93.0 sqm,"$610,000"
807C Choa Chu Kang Ave 1 S(683807),4-Room,92.0 sqm,"$610,000"
456 Hougang Ave 10 S(530456),4-Room,104.0 sqm,"$610,000"
422 Canberra Rd S(750422),5-Room,110.0 sqm,"$610,000"
354 Hougang Ave 7 S(530354),4-Room,93.0 sqm,"$615,000"
417 Canberra Rd S(750417),5-Room,110.0 sqm,"$615,000"
306 Choa Chu Kang Ave 4 S(680306),4-Room,109.0 sqm,"$618,000"
474 Segar Rd S(670474),5-Room,111.0 sqm,"$618,000"
553 Jurong West St 42 S(640553),5-Room,133.0 sqm,"$618,000"
26 Ghim Moh Link S(270026),2-Room,47.0 sqm,"$620,000"
116B Jln Tenteram S(322116),3-Room,67.0 sqm,"$620,000"
58 Dakota Cres S(390058),3-Room,74.0 sqm,"$620,000"
115B Canberra Walk S(752115),4-Room,93.0 sqm,"$620,000"
342 Tampines St 33 S(520342),4-Room,111.0 sqm,"$620,000"
526 Hougang Ave 6 S(530526),4-Room,84.0 sqm,"$620,000"
116 Bedok Reservoir Rd S(470116),4-Room,91.0 sqm,"$620,000"
211 Serangoon Ave 4 S(550211),4-Room,93.0 sqm,"$620,000"
470 Segar Rd S(670470),5-Room,110.0 sqm,"$620,000"
268A Boon Lay Dr S(641268),5-Room,111.0 sqm,"$620,000"
682C Jurong West Ctrl 1 S(643682),5-Room,115.0 sqm,"$620,000"
165 Woodlands St 13 S(730165),5-Room,121.0 sqm,"$620,000"
349 Tampines St 33 S(520349),4-Room,107.0 sqm,"$627,000"
287A Compassvale Cres S(541287),4-Room,96.0 sqm,"$628,000"
746 Pasir Ris St 71 S(510746),4-Room,104.0 sqm,"$628,000"
274C Jurong West St 25 S(643274),Executive,126.0 sqm,"$628,888"
296C Bt Batok St 22 S(653296),4-Room,92.0 sqm,"$629,000"
107C Canberra St S(753107),4-Room,93.0 sqm,"$630,000"
502A Yishun St 51 S(761502),4-Room,92.0 sqm,"$630,000"
451A Sengkang West Way S(791451),4-Room,92.0 sqm,"$630,000"
978D Buangkok Cres S(536978),4-Room,90.0 sqm,"$630,000"
574 Hougang St 51 S(530574),4-Room,98.0 sqm,"$630,000"
142 Jln Bt Merah S(160142),4-Room,92.0 sqm,"$630,000"
95 Geylang Bahru S(330095),4-Room,92.0 sqm,"$630,000"
62 Teban Gdns Rd S(600062),5-Room,110.0 sqm,"$630,000"
501B Wellington Circle S(752501),5-Room,110.0 sqm,"$630,000"
589 Woodlands Dr 16 S(730589),5-Room,111.0 sqm,"$630,000"
186A Rivervale Dr S(541186),5-Room,110.0 sqm,"$630,000"
769 Woodlands Dr 60 S(730769),5-Room,120.0 sqm,"$630,000"
864 Jurong West St 81 S(640864),5-Room,124.0 sqm,"$630,000"
253 Tampines St 21 S(521253),4-Room,104.0 sqm,"$635,000"
311A Clementi Ave 4 S(121311),3-Room,60.0 sqm,"$638,000"
439B Sengkang West Ave S(792439),4-Room,94.0 sqm,"$638,000"
638 Choa Chu Kang St 64 S(680638),4-Room,100.0 sqm,"$638,000"
138 Bishan St 12 S(570138),4-Room,84.0 sqm,"$638,000"
149 Bedok Reservoir Rd S(470149),4-Room,84.0 sqm,"$638,000"
652B Jurong West St 61 S(642652),5-Room,110.0 sqm,"$638,000"
623 Jurong West St 61 S(640623),5-Room,110.0 sqm,"$638,000"
664A Jurong West St 64 S(641664),5-Room,110.0 sqm,"$638,000"
430 Choa Chu Kang Ave 4 S(680430),5-Room,124.0 sqm,"$638,000"
523 Jelapang Rd S(670523),4-Room,103.0 sqm,"$638,666"
285B Toh Guan Rd S(602285),4-Room,100.0 sqm,"$639,000"
176A Edgefield Plains S(821176),5-Room,110.0 sqm,"$640,000"
673C Jurong West St 65 S(643673),5-Room,111.0 sqm,"$640,000"
367 Corporation Dr S(610367),5-Room,122.0 sqm,"$640,000"
105B Edgefield Plains S(822105),5-Room,110.0 sqm,"$645,000"
637B Punggol Dr S(822637),4-Room,90.0 sqm,"$646,000"
362A Sembawang Cres S(751362),4-Room,93.0 sqm,"$648,000"
450C Bt Batok West Ave 6 S(653450),4-Room,93.0 sqm,"$648,000"
224A Sumang Lane S(821224),4-Room,93.0 sqm,"$648,000"
168A Punggol East S(821168),4-Room,92.0 sqm,"$648,000"
114 Pasir Ris St 11 S(510114),4-Room,111.0 sqm,"$648,000"
158 Tampines St 12 S(521158),4-Room,91.0 sqm,"$648,000"
555 Jurong West St 42 S(640555),5-Room,135.0 sqm,"$648,000"
258A Punggol Field S(821258),4-Room,93.0 sqm,"$648,888"
33 Ghim Moh Link S(270033),3-Room,68.0 sqm,"$650,000"
117B Jln Tenteram S(322117),3-Room,67.0 sqm,"$650,000"
50 C'wealth Dr S(142050),3-Room,63.0 sqm,"$650,000"
475A Upp Serangoon Cres S(531475),3-Room,67.0 sqm,"$650,000"
435C Bt Batok West Ave 5 S(653435),4-Room,93.0 sqm,"$650,000"
